"CHROM","qtl","start","end","length","nSNPs","avgSNPs_Mb","peakDeltaSNP","posPeakDeltaSNP","avgDeltaSNP","maxGprime","posMaxGprime","meanGprime","sdGprime","AUCaT","meanPval","meanQval"
"Chr01",1,30248653,40077801,9829148,7,1,0.140140009564807,40077801,0.0276574743997669,6.46168769103977,35112602,5.65032649956133,0.669419342215703,10118998.0435577,4.63257566388605e-06,0.000385038996968712
"Chr01",2,64049862,68295882,4246020,4,1,0.0886478722809976,68295882,0.0324038113041156,8.27536887795287,68295882,5.90726359110186,1.60817691932231,6945916.3606546,1.56495829500281e-05,0.00113803744112902
"Chr03",3,8488858,20154985,11666127,10,1,0.0915664384002843,17670530,0.0550486006230434,16.9896239326901,12818314,11.4637702674623,2.49067212321658,96045958.908982,0,0
"Chr03",4,27582409,31425741,3843332,4,1,0.188795895154998,30747950,0.172481662824064,8.4846910632276,30747950,6.9605600331396,1.43017987615777,9206450.54520106,1.96891895010154e-08,1.82466269088062e-06
"Chr03",5,38559975,42502488,3942513,8,2,0.048062629075676,38559975,0.0318550882385501,6.13672683624895,39157583,5.68086208087991,0.290580748619949,3989758.46247888,1.32556554913177e-07,1.20482069258301e-05
"Chr04",6,4742185,46793997,42051812,32,1,0.792738799793464,34820642,0.421074784972932,256.988794295634,34820642,134.515442560562,70.4615227267526,5381469693.83674,0,0
"Chr04",7,63682111,67393445,3711334,3,1,-0.0717071700754881,63682111,-0.0200928009861936,6.78116304703309,67393445,6.10351709308325,1.1367468564871,5297550.4116383,2.1913789691963e-05,0.00152831010760302
"Chr06",8,49116964,53513824,4396860,7,2,0.0572733239150765,49116964,0.0507493427669334,7.45629130574943,51198211,7.15324412676103,0.280059754029433,10585194.5635923,2.036466233741e-14,2.40280333445157e-12
"Chr07",9,28091213,32444003,4352790,14,3,-0.0885273803173174,32444003,-0.0625269673489569,4.98174581768452,29449110,4.88856682717445,0.0564805402517208,473046.237006696,2.96779093785227e-05,0.00224304424199167
"Chr07",10,50155362,52962040,2806678,3,1,-0.0379405022301901,50155362,-0.0256887622956863,6.61214842791045,52962040,5.66436077019592,0.875198922501643,2403794.96455794,8.98030098247145e-06,0.000719364127222124
"Chr09",11,3871629,3871629,0,1,Inf,0.0878773106878508,3871629,0.0878773106878508,5.4889134738968,3871629,5.4889134738968,NA,0,5.70385469966794e-08,5.36162341768787e-06
